An	Durata	Vizionari	 nr_viz  Titlu	Categorie	Premii					
1981	88	5000	Going Ape	Comedy	Nu					
1987	88	6000	Hell Comes to Frogtown	Science Fiction	Nu					
1935	88	4000	"Thirty-Nine Steps, The"	Science Fiction	Nu					
1971	88	5500	And Now for Something Completely Different	Comedy	Nu					
1948	88	2000	Criss Cross	Drama	Nu					
1971	88	5000	Joe Kidd	Western	Nu					
1993	88	6000	Great White Death	Action	Nu					
1991	89	2500	Bloodbath	Horror	Nu					
1974	89	5500	Monty Python & the Holy Grail	Comedy	Nu					
1990	89	2500	Quick Change	Comedy	Nu					
1975	89	1500	"Terrorists, The"	Action	Nu					
1989	89	4000	Fire & Rain	Action	Nu					
1990	89	2000	Bloodsucking Pharaohs in Pittsburgh	Comedy	Nu					
1979	89	1500	Buffet Froid	Comedy	Nu					
1989	89	3000	After School	Drama	Nu					
1936	89	4000	Libeled Lady	Comedy	Nu					
1991	89	2500	If Looks Could Kill	Action	Nu					
1987	89	2500	Business As Usual	Comedy	Nu					
1988	89	2000	Salome's Last Dance	Comedy	Nu					
1977	89	3000	"World's Greatest Lover, The"	Comedy	Nu					
1986	89	5500	True Stories	Comedy	Nu					
1992	89	4000	"Flame & the Arrow, The"	Action	Nu					
1957	89	5500	Paths of Glory	Drama	Nu					
1989	89	4000	"Nightmare on Elm Street, Pt. 5, The Dream Child"	Horror	Nu					
1948	89	3500	Return of October	Comedy	Nu					
1986	89	3000	Water	Comedy	Nu					
1990	89	1500	A Chorus of Disapproval	Comedy	Nu					
1988	89	5000	Cheerleader Camp	Horror	Nu					
1986	89	4500	Legend	Science Fiction	Nu					
1988	89	2000	Phantom of the Ritz	Horror	Nu					
1974	89	4500	"Little Prince, The"	Music	Nu					
1991	89	6000	Green Glove	Drama	Nu					
1970	89	1000	Menace on the Mountain	Action	Nu					
1963	89	5000	"Crawling Hand, The"	Science Fiction	Nu					
1960	90	5000	"Devil's Eye, The"	Drama	Nu					
1992	90	1500	Germicide	Drama	Nu					
1991	90	4000	"Henry, Portrait of a Serial Killer"	Horror	Nu					
1988	90	2500	Dr Alien	Science Fiction	Nu					
1959	90	4500	Voulez-Vous Danser Avec Moi?	Comedy	Nu					
1958	90	4500	"Bride Is Much Too Beautiful, The"	Comedy	Nu					
1955	90	3500	Doctor at Sea	Comedy	Nu					
1957	90	6000	And God Created Woman	Drama	Nu					
1972	90	5000	"Scarlet Letter, The"	Drama	Nu					
1940	90	5000	June Night	Drama	Nu					
1935	90	5000	Swedenhielms	Drama	Nu					
1990	90	1500	Twenty Four Hours in a Woman's Life	Drama	Nu					
1988	90	5000	Golden Ninja Invasion	Action	Nu					
1989	90	2000	"Vampire Raiders, Ninja Queen"	Action	Nu					
1989	90	3000	Never on Tuesday	Drama	Nu					
1989	90	5000	Puppet Master	Science Fiction	Nu					
1980	90	1000	"Fifth Floor, The"	Mystery	Nu					
1992	90	1500	Beauty & the Beast	Science Fiction	Nu					
1967	90	4500	Elvira Madigan	Drama	Nu					
1985	90	5000	Fantasy Man	Comedy	Nu					
1992	90	5500	Diary of a Hitman	Drama	Nu					
1928	90	2000	Woman of Affairs	Drama	Nu					
1984	90	3000	Johnny Dangerously	Comedy	Nu					
1986	90	5000	Knights & Emeralds	Drama	Nu					
1986	90	3500	Running Mates	Drama	Nu					
1989	90	5000	New Year's Day	Comedy	Nu					
1983	90	6000	Blame It on Rio	Comedy	Nu					
1987	90	4500	Superman IV: The Quest for Peace	Action	Nu					
1970	90	1500	Quackser Fortune Has a Cousin in the Bronx	Comedy	Nu					
1987	90	1000	Dragonard	Drama	Nu					
1986	90	4500	Hard Choices	Drama	Nu					
1987	90	2000	Ninja Masters of Death	Action	Nu					
1974	90	3500	"Second Coming of Suzanne., The"	Drama	Nu					
1988	90	4500	Big Top Pee-wee	Comedy	Nu					
1968	90	5000	"Producers, The"	Comedy	Nu					
1990	90	5000	Red Sonja	Action	Nu					
1952	90	5500	Big Jim McLain	Western	Nu					
1988	90	1000	Going for the Gold	Action	Nu					
1988	90	6000	"Naked Gun: From the Files of Police Squad!, THe"	Comedy	Nu					
1988	90	5000	Police Academy 5: Assignment Miami Beach	Comedy	Nu					
1984	90	1500	Ransom	Drama	Nu					
1987	90	2000	PK. & the Kid.	Drama	Nu					
1976	90	4500	Black & White in Color	Comedy	Da					
1971	90	3500	"Garden of the Finzi-Continis, The"	Drama	Da					
1991	90	1000	Basil The Rat	Comedy	Nu					
1979	90	4500	"Fawlty Towers, Gourmet Night, Waldorf Salad & The Kipper & the Corpse"	Comedy	Nu					
1986	90	1500	Head Office	Comedy	Nu					
1976	90	1500	Rocky	Drama	Da					
1986	90	4500	French Lesson	Comedy	Nu					
1943	90	2000	Lassie Come Home	Drama	Nu					
1983	90	2000	"Man with Two Brains, The"	Comedy	Nu					
1988	90	3000	Cannibal Women in the Avocado Jungle of Death	Comedy	Nu					
1975	90	2500	"Wild Party, The"	Drama	Nu					
1989	90	6000	"Savage Intruder, The"	Horror	Nu					
1970	90	4500	Bloody Mama	Action	Nu					
1977	90	5000	Tentacles	Horror	Nu					
1949	90	5500	Lust for Gold	Drama	Nu					
1983	90	3000	Le Dernier Combat	Drama	Nu					
1984	90	6000	"Inside Man, The"	Action	Nu					
1989	90	2000	American Autobahn	Drama	Nu					
1990	90	1000	Big Bad John	Action	Nu					
1987	90	2500	Empire of Spiritual Ninja	Action	Nu					
1986	90	2000	"Ninja, the Violent Sorcerer"	Action	Nu					
1954	90	6000	Human Desire	Drama	Nu					
1978	90	1000	Eraserhead	Horror	Nu					
1940	90	4000	In Old California	Western	Nu					
1987	90	5500	Eddie Murphy Raw	Comedy	Nu					
